"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30149","Вводиться неверный пароль и появляется предупреждение Вводиться неверный пароль ""1"" и появляется предупреждение ""Неверный логин или пароль.""","","2026-05-31","broken","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","fieldNotCorrectPassword"
"","3","thirdTest()","","2026-05-31","passed","2026-05-31","","tests.SimpleJunitTest","tests.SimpleJunitTest","thirdTest"
"","12262","При вводе пустой почты и правильного пароля появляется предупреждение правильный пароль ""1234561111111111111111"" появляется предупреждение ""Неверный логин или пароль.""","","2026-05-31","broken","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","fieldLoginEmpty"
"","2629","При вводе не корректных данных появляется предупреждение22222 При вводе не корректной почты ""qqqqqq@qqq.qq"" появляется предупреждение","","2026-05-31","broken","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","user"
"","1","secondTest()","","2026-05-31","passed","2026-05-31","","tests.SimpleJunitTest","tests.SimpleJunitTest","secondTest"
"","4","jsonFileParsingTest()","","2026-05-31","passed","2026-05-31","","quru.qa.FileParsingTest","quru.qa.FileParsingTest","jsonFileParsingTest"
"","9133","xslsFileParsingTest()","","2026-05-31","passed","2026-05-31","","quru.qa.FileParsingTest","quru.qa.FileParsingTest","xslsFileParsingTest"
"","1","firstTest()","","2026-05-31","passed","2026-05-31","","tests.SimpleJunitTest","tests.SimpleJunitTest","firstTest"
"","30125","Вводиться неверный пароль и появляется предупреждение Вводиться неверный пароль ""%*&YJHJfg"" и появляется предупреждение ""Неверный логин или пароль.""","","2026-05-31","broken","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","fieldNotCorrectPassword"
"","0","siteShouldHaveRusAndEndButton(Language, List)","","2026-05-31","skipped","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","siteShouldHaveRusAndEndButton"
"","7472","Заполнив все обязательные поля должно появиться модальное окно с заполнеными данными","","2026-05-31","failed","2026-05-31","","Класс Тестов на регистрацию нового пользователя","tests.TextBoxtestsWithPO","fillRequiredFields"
"","1829","pdfFileParsingTest()","","2026-05-31","passed","2026-05-31","","quru.qa.FileParsingTest","quru.qa.FileParsingTest","pdfFileParsingTest"
"","7287","Тест на заполнение всех полей","","2026-05-31","failed","2026-05-31","","Класс Тестов на регистрацию нового пользователя","tests.TextBoxtestsWithPO","fillFormTests"
"","45","zipFileParsingTest()","","2026-05-31","passed","2026-05-31","","quru.qa.FileParsingTest","quru.qa.FileParsingTest","zipFileParsingTest"
"","2066","uploadFileTest()","","2026-05-31","passed","2026-05-31","","quru.qa.SelenideFilesTest","quru.qa.SelenideFilesTest","uploadFileTest"
"","28676","При вводе не корректных данных появляется предупреждение22222 При вводе не корректной почты ""яяяяя@яяяя.яя"" появляется предупреждение","","2026-05-31","broken","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","user"
"","30144","При вводе не корректных данных появляется предупреждение22222 При вводе не корректной почты ""1111111@1111.11"" появляется предупреждение","","2026-05-31","broken","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","user"
"","1930","downloadFileTest()","","2026-05-31","passed","2026-05-31","","quru.qa.SelenideFilesTest","quru.qa.SelenideFilesTest","downloadFileTest"
"","1189","priceEurAndRub(Language) [1] RU","","2026-05-31","passed","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","priceEurAndRub"
