"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3048","Тест на заполнение всех полей","","2026-05-31","passed","2026-05-31","","Класс Тестов на регистрацию нового пользователя","tests.TextBoxtestsWithPO","fillFormTests"
"","0","siteShouldHaveRusAndEndButton(Language, List)","","2026-05-31","skipped","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","siteShouldHaveRusAndEndButton"
"","1963","Вводиться неверный пароль и появляется предупреждение Вводиться неверный пароль ""00000-0000"" и появляется предупреждение ""Неверный логин или пароль.""","","2026-05-31","passed","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","fieldNotCorrectPassword"
"","1303","При вводе пустой почты и правильного пароля появляется предупреждение правильный пароль ""1234561111111111111111"" появляется предупреждение ""Неверный логин или пароль.""","","2026-05-31","passed","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","fieldLoginEmpty"
"","2762","Вводиться неверный пароль и появляется предупреждение Вводиться неверный пароль ""2"" и появляется предупреждение ""Неверный логин или пароль.""","","2026-05-31","passed","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","fieldNotCorrectPassword"
"","1","firstTest()","","2026-05-31","passed","2026-05-31","","tests.SimpleJunitTest","tests.SimpleJunitTest","firstTest"
"","9641","xslsFileParsingTest()","","2026-05-31","passed","2026-05-31","","quru.qa.FileParsingTest","quru.qa.FileParsingTest","xslsFileParsingTest"
"","16","csvFileParsingTest()","","2026-05-31","passed","2026-05-31","","quru.qa.FileParsingTest","quru.qa.FileParsingTest","csvFileParsingTest"
"","2518","uploadFileTest()","","2026-05-31","passed","2026-05-31","","quru.qa.SelenideFilesTest","quru.qa.SelenideFilesTest","uploadFileTest"
"","732","Проверяем что есть предупреждение о куках","","2026-05-31","passed","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","fillFormTests"
"","2506","pdfFileParsingTest()","","2026-05-31","passed","2026-05-31","","quru.qa.FileParsingTest","quru.qa.FileParsingTest","pdfFileParsingTest"
"","1945","Вводиться неверный пароль и появляется предупреждение Вводиться неверный пароль ""!!!!!!!"" и появляется предупреждение ""Неверный логин или пароль.""","","2026-05-31","passed","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","fieldNotCorrectPassword"
"","1288","При вводе не корректных данных появляется предупреждение22222 При вводе не корректной почты ""яяяяя@яяяя.яя"" появляется предупреждение","","2026-05-31","passed","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","user"
"","268","priceEurAndRub(Language) [2] EN","","2026-05-31","passed","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","priceEurAndRub"
"","0","fillNotRequiredFields()","","2026-05-31","skipped","2026-05-31","","Класс Тестов на регистрацию нового пользователя","tests.TextBoxtestsWithPO","fillNotRequiredFields"
"","4","jsonFileParsingTest()","","2026-05-31","passed","2026-05-31","","quru.qa.FileParsingTest","quru.qa.FileParsingTest","jsonFileParsingTest"
"","5106","Вводиться неверный пароль и появляется предупреждение Вводиться неверный пароль ""1"" и появляется предупреждение ""Неверный логин или пароль.""","","2026-05-31","passed","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","fieldNotCorrectPassword"
"","1465","При вводе не корректных данных появляется предупреждение22222 При вводе не корректной почты ""qqqqqq@qqq.qq"" появляется предупреждение","","2026-05-31","passed","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","user"
"","31","jsonFileParsingImproovedTest()","","2026-05-31","passed","2026-05-31","","quru.qa.FileParsingTest","quru.qa.FileParsingTest","jsonFileParsingImproovedTest"
"","2181","При вводе не корректных данных появляется предупреждение22222 При вводе не корректной почты ""1111111@1111.11"" появляется предупреждение","","2026-05-31","passed","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","user"
"","1813","Вводиться неверный пароль и появляется предупреждение Вводиться неверный пароль ""dfgdfgfdg"" и появляется предупреждение ""Неверный логин или пароль.""","","2026-05-31","passed","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","fieldNotCorrectPassword"
"","2","secondTest()","","2026-05-31","passed","2026-05-31","","tests.SimpleJunitTest","tests.SimpleJunitTest","secondTest"
"","1927","Вводиться неверный пароль и появляется предупреждение Вводиться неверный пароль ""GGGGGGGGG"" и появляется предупреждение ""Неверный логин или пароль.""","","2026-05-31","passed","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","fieldNotCorrectPassword"
"","50","zipFileParsingTest()","","2026-05-31","passed","2026-05-31","","quru.qa.FileParsingTest","quru.qa.FileParsingTest","zipFileParsingTest"
"","2228","Вводиться неверный пароль и появляется предупреждение Вводиться неверный пароль ""********"" и появляется предупреждение ""Неверный логин или пароль.""","","2026-05-31","passed","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","fieldNotCorrectPassword"
"","3","thirdTest()","","2026-05-31","passed","2026-05-31","","tests.SimpleJunitTest","tests.SimpleJunitTest","thirdTest"
"","2639","Заполнив все обязательные поля должно появиться модальное окно с заполнеными данными","","2026-05-31","passed","2026-05-31","","Класс Тестов на регистрацию нового пользователя","tests.TextBoxtestsWithPO","fillRequiredFields"
"","2948","downloadFileTest()","","2026-05-31","passed","2026-05-31","","quru.qa.SelenideFilesTest","quru.qa.SelenideFilesTest","downloadFileTest"
"","1946","priceEurAndRub(Language) [1] RU","","2026-05-31","passed","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","priceEurAndRub"
"","1933","Вводиться неверный пароль и появляется предупреждение Вводиться неверный пароль ""%*&YJHJfg"" и появляется предупреждение ""Неверный логин или пароль.""","","2026-05-31","passed","2026-05-31","","КЛАСС ТЕСТОВ НА АВТОРИЗАЦИЮ ПОЛЬЗОВАТЕЛЯ","tests.Birds","fieldNotCorrectPassword"
